Time,PM10,PM2.5,,,,,,,,,,,,,,,,,
10:00,32.66,19.97,,,,,,,,,,,,,,,,,
10:01,31.57,21.7,,,,,,,,,,,,,,,,,
10:02,32.11,20.93,,,,,,,,,,,,,,,,,
10:03,31.91,21.45,,,,,,,,,,,,,,,,,
10:04,33.26,21.3,,,,,,,,,,,,,,,,,
10:05,37.4,21.83,,,,,,,,,,,,,,,,,
10:06,68.98,26.71,,,,,,,,,,,,,,,,,
10:07,56.11,23.36,,,,,,,,,,,,,,,,,
10:08,42.45,23.76,,,,,,,,,,,,,,,,,
10:09,43.11,25.22,,,,,,,,,,,,,,,,,
10:10,46.5,26.02,,,,,,,,,,,,,,,,,
10:11,47.92,25.52,,,,,,,,,,,,,,,,,
10:12,42.88,25.09,,,,,,,,,,,,,,,,,
10:13,45.33,26.17,,,,,,,,,,,,,,,,,
10:14,45.25,24.01,,,,,,,,,,,,,,,,,
10:15,46.75,26.47,,,,,,,,,,,,,,,,,
10:16,49.9,25.74,,,,,,,,,,,,,,,,,
10:17,44.33,26.77,,,,,,,,,,,,,,,,,
10:18,43.81,24.96,,,,,,,,,,,,,,,,,
10:19,45.47,26.2,,,,,,,,,,,,,,,,,
10:20,48.34,25.24,,,,,,,,,,,,,,,,,
10:21,43.01,25.28,,,,,,,,,,,,,,,,,
10:22,47.69,24.59,,,,,,,,,,,,,,,,,
10:23,48.57,26.14,,,,,,,,,,,,,,,,,
10:24,49.58,26.29,,,,,,,,,,,,,,,,,
10:25,44.33,25.13,,,,,,,,,,,,,,,,,
10:26,45.93,25.88,,,,,,,,,,,,,,,,,
10:27,45.26,25.46,,,,,,,,,,,,,,,,,
10:28,48.31,25.4,,,,,,,,,,,,,,,,,
10:29,53.66,27.93,,,,,,,,,,,,,,,,,
10:30,43.25,24.94,,,,,,,,,,,,,,,,,
10:31,45.45,23.9,,,CASE 4-1,,,,,,,,CASE 4-2,,,,,,
10:32,42.26,24.84,,,Off (10:00~11:00),PM10,PM2.5,,ON (11:00~12:30),PM10,PM2.5,,Off (13:30~14:30),PM10,PM2.5,,On (14:30~16:00),PM10,PM2.5
10:33,41.91,24.27,,,MEAN,43.67 ,24.48 ,,MEAN,14.37 ,8.74 ,,MEAN,30.93 ,20.39 ,,MEAN,9.18 ,5.67 
10:34,42.03,24.69,,,MAX,68.98 ,27.93 ,,MAX,40.49 ,23.57 ,,MAX,56.04 ,25.86 ,,MAX,34.55 ,18.90 
10:35,44.04,24.65,,,MIN,31.57 ,19.97 ,,MIN,5.43 ,4.69 ,,MIN,23.91 ,17.66 ,,MIN,3.22 ,2.53 
10:36,46.94,24.71,,,MED,43.25 ,24.71 ,,MED,9.78 ,6.52 ,,MED,29.95 ,20.39 ,,MED,5.80 ,3.76 
10:37,44.47,23.71,,,S.D.,5.70 ,1.51 ,,S.D.,9.33 ,5.02 ,,S.D.,5.52 ,1.84 ,,S.D.,7.47 ,3.93 
10:38,46.26,24.39,,,,,,,,,,,,,,,,,
10:39,37.73,22.22,,,,67.10%,64.31%,,,,,,,70.32%,72.19%,,,,
10:40,41.76,24.28,,,,,,,,,,,,,,,,,
10:41,44.71,24.94,,,,,,,,,,,,,,,,,
10:42,41.64,24.36,,,,,,,,,,,,,,,,,
10:43,45.18,25.1,,,,,,,,,,,,,,,,,
10:44,43.01,25.07,,,,,,,,,,,,,,,,,
10:45,46.43,24.96,,,,,,,,,,,,,,,,,
10:46,39.81,25.02,,,,,,,,,,,,,,,,,
10:47,44.39,23.67,,,,,,,,,,,,,,,,,
10:48,42.63,24.1,,,,,,,,,,,,,,,,,
10:49,41.77,24.34,,,,,,,,,,,,,,,,,
10:50,40.98,25.17,,,,,,,,,,,,,,,,,
10:51,41.61,24.98,,,,,,,,,,,,,,,,,
10:52,37.38,23.3,,,,,,,,,,,,,,,,,
10:53,39.92,23,,,,,,,,,,,,,,,,,
10:54,42.82,24.47,,,,,,,,,,,,,,,,,
10:55,42.68,24.41,,,,,,,,,,,,,,,,,
10:56,40.79,22.95,,,,,,,,,,,,,,,,,
10:57,43.25,23.11,,,,,,,,,,,,,,,,,
10:58,42.96,25.55,,,,,,,,,,,,,,,,,
10:59,43.13,24.37,,,,,,,,,,,,,,,,,
