Time,On/Off,CA_PM10,CA_PM2.5
1,On,40.49,23.37
2,On,40.21,23.57
3,On,40.18,22.67
4,On,39.85,22.45
5,On,39.24,23.53
6,On,37.4,20.54
7,On,32.63,19.16
8,On,30.56,17.9
9,On,27.4,18.12
10,On,25.6,16.11
11,On,23.75,15.64
12,On,23.83,15.23
13,On,22.18,14.97
14,On,21.57,14.3
15,On,25.3,15.1
16,On,26.3,13.82
17,On,24.55,13.45
18,On,20.9,11.86
19,On,18.24,10.28
20,On,19.32,10.2
21,On,15.22,9.84
22,On,14.56,9.69
23,On,16.42,10.3
24,On,21.64,10.16
25,On,14.54,8.5
26,On,14.05,9.05
27,On,13.86,7.63
28,On,10.92,7.54
29,On,13.34,8.34
30,On,12.14,7.55
31,On,10.43,6.97
32,On,9.16,6.9
33,On,9.67,7.04
34,On,9.05,6.46
35,On,8.73,6.39
36,On,8.12,6.59
37,On,8.86,6.72
38,On,9.52,6.5
39,On,14.62,6.77
40,On,9.83,6.27
41,On,9.51,6.07
42,On,9.88,6.69
43,On,15.78,7.9
44,On,23.52,7.97
45,On,18.77,7.7
46,On,17.16,8.13
47,On,8.5,5.97
48,On,9.68,6.76
49,On,13.18,6.73
50,On,8.9,5.8
51,On,9.22,6.35
52,On,9.66,6.1
53,On,9.61,6.05
54,On,8.72,6.09
55,On,8.03,5.92
56,On,7.92,5.3
57,On,6.93,5.36
58,On,6.05,5.17
59,On,7.14,5.52
60,On,9.78,5.93
61,On,6.5,5.07
62,On,7.34,5.58
63,On,14.62,7.33
64,On,13.15,6.3
65,On,6.75,5.32
66,On,6.6,5.23
67,On,6.99,5.73
68,On,6.58,5.29
69,On,5.43,4.8
70,On,12.49,6.01
71,On,14.69,5.9
72,On,9.62,5.58
73,On,7.91,5.83
74,On,6.65,5.18
75,On,8.03,5.82
76,On,7.45,5.7
77,On,6.36,5.2
78,On,6.47,4.97
79,On,6.94,5.38
80,On,5.62,4.69
81,On,8.97,5.04
82,On,6.38,5.15
83,On,6.31,5.34
84,On,5.92,4.94
85,On,6.15,5
86,On,6.46,5.33
87,On,6.51,5.14
88,On,24.47,6.52
89,On,13.79,6.75
90,On,6.98,5.1
91,On,7.18,4.9
