Time	On/Off	PM10	PM2.5
0	Off	32.66	19.97
1	Off	31.57	21.7
2	Off	32.11	20.93
3	Off	31.91	21.45
4	Off	33.26	21.3
5	Off	37.4	21.83
6	Off	68.98	26.71
7	Off	56.11	23.36
8	Off	42.45	23.76
9	Off	43.11	25.22
10	Off	46.5	26.02
11	Off	47.92	25.52
12	Off	42.88	25.09
13	Off	45.33	26.17
14	Off	45.25	24.01
15	Off	46.75	26.47
16	Off	49.9	25.74
17	Off	44.33	26.77
18	Off	43.81	24.96
19	Off	45.47	26.2
20	Off	48.34	25.24
21	Off	43.01	25.28
22	Off	47.69	24.59
23	Off	48.57	26.14
24	Off	49.58	26.29
25	Off	44.33	25.13
26	Off	45.93	25.88
27	Off	45.26	25.46
28	Off	48.31	25.4
29	Off	53.66	27.93
30	Off	43.25	24.94
31	Off	45.45	23.9
32	Off	42.26	24.84
33	Off	41.91	24.27
34	Off	42.03	24.69
35	Off	44.04	24.65
36	Off	46.94	24.71
37	Off	44.47	23.71
38	Off	46.26	24.39
39	Off	37.73	22.22
40	Off	41.76	24.28
41	Off	44.71	24.94
42	Off	41.64	24.36
43	Off	45.18	25.1
44	Off	43.01	25.07
45	Off	46.43	24.96
46	Off	39.81	25.02
47	Off	44.39	23.67
48	Off	42.63	24.1
49	Off	41.77	24.34
50	Off	40.98	25.17
51	Off	41.61	24.98
52	Off	37.38	23.3
53	Off	39.92	23
54	Off	42.82	24.47
55	Off	42.68	24.41
56	Off	40.79	22.95
57	Off	43.25	23.11
58	Off	42.96	25.55
59	Off	43.13	24.37
